wavelength calibrated_flux flux_var
3599.275025298976 -3.411051680985261e-18 7.350930948050286e-35
3601.3285797853705 3.8832178098216895e-18 6.709029035933931e-35
3603.382134271765 1.502931657750539e-17 6.976197940779639e-35
3605.43568875816 1.1323802224764257e-17 6.334189483893612e-35
3607.4892432445545 1.3132431049605196e-17 6.835869093322022e-35
3609.542797730949 1.0910026270592248e-17 6.17369076241592e-35
3611.596352217344 7.44473719561454e-19 6.002692796267151e-35
3613.649906703739 -4.458938957288625e-18 5.775730590376566e-35
3615.7034611901336 1.3949377021759482e-18 5.750588432256087e-35
3617.757015676528 4.325261319738361e-18 5.47325633471061e-35
3619.810570162923 -5.470378238569895e-18 5.654048078060179e-35
3621.8641246493175 -3.619719164668101e-18 5.343423279635926e-35
3623.917679135712 7.911808085539348e-18 5.266403183102114e-35
3625.971233622107 -2.165332275467519e-19 5.143692741262859e-35
3628.0247881085015 -1.3896603372498148e-17 5.553359721558258e-35
3630.078342594896 1.2333285895188624e-17 5.255869302316092e-35
3632.131897081291 4.751686678949167e-18 5.11035271425764e-35
3634.1854515676855 3.03385789779147e-18 4.970177950193657e-35
3636.23900605408 1.2696758591609967e-17 4.871444531780458e-35
3638.292560540475 3.0310077333370012e-18 4.4966797144301494e-35
3640.3461150268695 5.8029753186043926e-18 4.2949094698593706e-35
3642.3996695132646 -3.807492004391267e-18 4.375816365510016e-35
3644.4532239996593 6.051897101685898e-18 4.064622213356259e-35
3646.506778486054 -9.676906067971362e-18 4.2643493587513637e-35
3648.5603329724486 1.138882148059777e-17 3.961881217858823e-35
3650.6138874588432 7.196541372912959e-18 3.83469032839703e-35
3652.667441945238 -2.601268059192253e-19 3.8573972100579505e-35
3654.7209964316326 -6.181992834788038e-19 3.6107517538109784e-35
3656.774550918027 1.433057451505378e-18 3.6294008044861143e-35
3658.828105404422 4.640730901496454e-18 3.6041167818112164e-35
3660.8816598908165 -1.001186350207979e-18 3.3208457295981974e-35
3662.935214377211 -1.7558962425948024e-18 3.4628798962528844e-35
3664.988768863606 2.253055495091342e-18 3.367083483061367e-35
3667.0423233500005 2.5352236832902943e-19 3.1443848908336346e-35
3669.095877836395 -5.0925012553576954e-18 3.170746652978018e-35
3671.14943232279 -7.685980523997717e-18 2.9626265227451093e-35
3673.202986809185 4.037443031442505e-18 2.7926186418223e-35
3675.2565412955796 3.4343365369398415e-18 2.903975468557719e-35
3677.3100957819743 -7.6452253580157025e-19 2.729642630561275e-35
3679.363650268369 2.0152794414458652e-18 2.493983933916389e-35
3681.4172047547636 3.963810121006619e-18 2.5041428504350346e-35
3683.4707592411582 -4.7062925780877155e-18 2.3625586716303803e-35
3685.524313727553 -3.17999041927413e-18 2.5076019486270536e-35
3687.5778682139476 -3.4084167177802326e-18 2.200423808250423e-35
3689.6314227003422 -1.5213456900195677e-18 2.465960752932946e-35
3691.684977186737 -5.77352765668451e-18 2.0685731978666746e-35
3693.7385316731315 6.098642198792472e-18 2.1693488940732328e-35
3695.792086159526 -4.6147852578914835e-18 2.2145004222159313e-35
3697.845640645921 6.8303227700340154e-18 2.042689457574132e-35
3699.8991951323155 2.2229644722805826e-18 2.2016014102009198e-35
3701.9527496187106 -5.91311143370743e-19 2.106697393995699e-35
3704.0063041051053 -4.9379171899788025e-18 2.1715557982667484e-35
3706.0598585915 -6.383063733837537e-18 1.9371853662476047e-35
3708.1134130778946 3.677061909234388e-18 1.8754944837313655e-35
3710.1669675642893 -2.9896132447642727e-18 1.8766809278943767e-35
3712.220522050684 -3.3890515911119367e-18 1.8554548963831574e-35
3714.2740765370786 -4.738880789374823e-19 1.800698258984266e-35
3716.3276310234733 8.722518542060009e-18 1.5974500943425457e-35
3718.381185509868 -7.136331381198213e-20 1.66476018387848e-35
3720.4347399962626 5.381323590664948e-18 1.6423045320108203e-35
3722.4882944826572 3.846069013609624e-18 1.7670498917828166e-35
3724.541848969052 6.578238247976056e-18 1.6181928801002386e-35
3726.5954034554466 -3.888553854062359e-18 1.736375678696761e-35
3728.648957941841 4.283663751976895e-18 1.5904026318507469e-35
3730.7025124282363 9.7105226006967e-18 1.4662366936462031e-35
3732.756066914631 -1.4026415478945254e-18 1.5130093455832385e-35
3734.8096214010257 3.745629693028042e-18 1.498690360121069e-35
3736.8631758874203 -6.782441472494269e-19 1.4846766457656984e-35
3738.916730373815 6.445910092481402e-18 1.47403850596932e-35
3740.9702848602096 -2.590538463590734e-18 1.52671379336023e-35
3743.0238393466043 -5.324422861483076e-18 1.441185305933769e-35
3745.077393832999 4.5812120829360726e-18 1.2829041610945035e-35
3747.1309483193936 6.0913382454431614e-18 1.308547211343381e-35
3749.1845028057883 -1.0733889710789758e-18 1.319547389536631e-35
3751.238057292183 -1.619171709397567e-18 1.1946007341793719e-35
3753.2916117785776 4.760276216180207e-18 1.25777006013112e-35
3755.3451662649722 -2.6939542973471508e-18 1.1593234425911617e-35
3757.398720751367 -4.771646185043593e-18 1.152072727459016e-35
3759.4522752377616 5.714673427771899e-18 1.149133820707519e-35
3761.5058297241567 1.2106835280035822e-18 9.938168457962636e-36
3763.5593842105513 -5.870927027675659e-19 9.882877199222035e-36
3765.612938696946 6.2561067814265e-18 1.0447918541277754e-35
3767.6664931833407 2.782639955056331e-18 9.793804770908109e-36
3769.7200476697353 -3.4491203789598236e-18 1.047808406053724e-35
3771.77360215613 3.5924710781230435e-18 9.307535657674645e-36
3773.8271566425246 -4.277934631539732e-19 1.0395522800650705e-35
3775.8807111289193 4.638098251734206e-18 9.760294646309313e-36
