# Extracted 1D spectrum from 1d_standard_0004942845-20250105-OSIRIS-OsirisLongSlitSpectroscopy.dat
# Wavelength Flux Variance
3695.813258388177 13778.25255308672 24931.274927942926
3697.866806550847 13942.895753819888 24893.572983828373
3699.920354713516 14522.735434299235 26126.676237268697
3701.973902876186 14446.034478710331 26705.245125902045
3704.0274510388554 14871.601170818893 27420.91774243909
3706.080999201525 14889.667198716612 27124.69596697053
3708.134547364195 15015.974120557881 27763.880744088132
3710.1880955268643 15186.549399793546 28333.926295764708
3712.241643689534 15174.855162940921 27596.63400791278
3714.295191852204 15184.073329833816 28108.505465867867
3716.3487400148733 15742.051957560434 29569.64299503505
3718.402288177543 16042.212218630166 30889.235869231874
3720.455836340213 16213.490241620075 31169.50007386981
3722.5093845028823 16541.10372519271 31343.823360568942
3724.562932665552 17105.27146129242 32330.3889584193
3726.616480828222 17218.778408246755 33854.29722609847
3728.6700289908913 17150.486398920657 33333.19724223644
3730.723577153561 17392.91169404828 35159.62975913996
3732.777125316231 17601.803808929 39923.63276963147
3734.8306734789003 17632.826187814404 35637.43288352124
3736.88422164157 17927.154977697275 36303.22176379434
3738.93776980424 18281.886376137012 36175.326771353066
3740.9913179669093 18055.990664550536 35239.79669368855
3743.044866129579 18767.736634336678 38754.91439831728
3745.0984142922484 18608.29376910383 37154.79015400289
3747.1519624549182 18859.176491863524 38115.37445007901
3749.205510617588 19199.0435953568 39597.217052517815
3751.2590587802574 19289.1723311268 39242.01356535573
3753.3126069429272 19319.444609117036 38707.827696385095
3755.366155105597 19965.418861294114 41890.96365601581
3757.4197032682664 19836.36586671717 41801.040676718985
3759.473251430936 20195.45330306893 42362.81792990575
3761.526799593606 20366.753779152685 43480.46235516347
3763.5803477562754 20988.6600979077 45923.29064970846
3765.633895918945 20611.62506449158 42763.650924283545
3767.6874440816146 21496.122638297933 47546.15779942151
3769.7409922442844 21961.730940234258 48369.69671869222
3771.794540406954 22582.87960864966 51609.06344283705
3773.8480885696235 22627.37647689665 50338.98123694593
3775.9016367322934 22738.624852502675 50677.64921588066
3777.955184894963 22808.121973744623 52927.367270944465
3780.0087330576325 23198.907069185523 52510.420039038494
3782.0622812203023 23463.0356001174 51255.038355018834
3784.115829382972 23299.83722545623 51599.14081860811
3786.1693775456415 23539.120461423707 54346.94126050802
3788.2229257083113 23732.877410417997 56087.771045805006
3790.276473870981 23974.84725169975 56583.17292917159
3792.3300220336505 24365.938777660653 56649.95375620864
3794.3835701963203 24969.15187369302 59403.241001533184
3796.43711835899 24933.853585717214 60942.022619876494
3798.4906665216595 25008.563078994288 57475.99648573632
3800.5442146843293 25248.369996810303 62034.13021840186
3802.5977628469986 25499.81859651248 59664.50411497489
3804.6513110096685 25535.260533837594 60848.09344492798
3806.7048591723383 25894.082284986176 62134.23453008097
3808.7584073350076 26869.989832167925 67589.3126415018
3810.8119554976774 26763.497367074844 66441.27199125427
3812.8655036603473 27329.519192387925 68809.38667201575
3814.9190518230166 27548.965203213516 68235.35143426848
3816.9725999856864 28192.70113409458 71433.16281247791
3819.0261481483562 27974.176355915955 71929.83853364919
3821.0796963110256 27728.08736115566 72017.64092993952
3823.1332444736954 28635.670614401115 76639.4648295043
3825.186792636365 28678.25513757728 73095.56334831768
3827.2403407990346 29269.49862197312 76808.3207557924
3829.2938889617044 29024.540159107513 73092.82891837812
3831.3474371243738 29091.476067457686 77143.27598746355
3833.4009852870436 29519.679265848226 80922.4917054916
3835.4545334497134 30307.59568781441 81548.94973401699
3837.5080816123827 30127.36616572217 78855.90360489656
3839.5616297750526 30168.488718472305 83861.38476580872
3841.6151779377224 30910.224205249062 85494.50183334212
3843.6687261003917 30878.737432957863 87023.43861925203
3845.7222742630615 31323.57941158915 88195.83398191922
3847.7758224257313 31339.390411185035 87854.21163578756
3849.8293705884007 32159.85691084857 95016.10106132612
3851.8829187510705 32544.17784621272 97546.75925759469
3853.9364669137403 32902.66165350043 95853.64903132667
3855.9900150764097 33029.463787250126 96832.09401589612
3858.0435632390795 33333.779832615546 102473.99282256565
3860.0971114017493 33463.46150272561 104013.86979732351
3862.1506595644187 33659.93849597215 101504.72114096812
3864.2042077270885 33900.63707238464 101909.46642216362
3866.257755889758 33838.159571710465 103230.0690963589
3868.3113040524277 34874.70054124701 108098.73097431504
3870.3648522150975 34476.38038360003 109902.21891786881
3872.418400377767 35324.07150371503 111484.84650554284
3874.4719485404366 35394.91096714397 117734.03610112303
3876.5254967031065 34978.8215115691 111434.98911858162
3878.579044865776 35044.095422507846 118667.16125095793
3880.6325930284456 35352.90151759456 118532.05831573755
3882.6861411911154 35076.82952025743 112605.45610284885
3884.739689353785 35592.70173427559 119073.25764156821
3886.7932375164546 36084.20939253477 125835.68352075506
3888.846785679124 36129.59325764649 120587.77866205003
3890.900333841794 36130.63652936843 123474.81373458123
3892.9538820044636 36267.45638563343 130427.67652776906
3895.007430167133 36801.854835856364 132621.22527457454
3897.0609783298028 37470.19135956708 135965.0085867725
3899.1145264924726 37960.66527343481 141181.8844317716
3901.168074655142 38131.822017699895 137558.82566626387
3903.2216228178117 39073.93421829322 147689.74095927953
3905.2751709804816 39281.3117353128 154331.7610282813
3907.328719143151 39682.984559178185 154597.4788098963
3909.3822673058207 40108.17370043218 159767.52353661685
3911.4358154684905 40529.75208282802 160971.87867456092
3913.48936363116 41874.16932759132 169360.22001360916
3915.5429117938297 41639.08428882943 168990.2550968378
3917.5964599564995 42065.24253744842 174626.39600127857
3919.650008119169 42765.18304112817 180956.4663136612
3921.7035562818387 42988.67679430591 184744.7350254541
3923.7571044445085 43196.13975135689 179272.83612885393
3925.810652607178 43401.72384183673 192990.98322260767
3927.8642007698477 43199.586824558835 185899.94378675937
3929.917748932517 43567.2650952104 187351.14657215815
3931.971297095187 43795.48070277355 194782.96917695322
3934.0248452578567 44278.81765436428 198739.4003153786
3936.078393420526 44445.04784046225 192240.17634755882
3938.131941583196 44628.142970297464 197379.16845273212
