   3888.65	He I
   4471.48	He I
   4921.93	He I
   5015.67	He I
   5875.62	He I
   6678.15	He I
   6965.43	Ar I
   7147.04	Ar I
   7272.93	Ar I
   7281.35	He I
   7383.98	Ar I
   7503.87	Ar I
   7514.65	Ar I
   7635.11	Ar I
   7723.98	Ar I
   7948.18	Ar I
   8006.16	Ar I
   8014.79	Ar I
   8103.69	Ar I
   8115.31	Ar I
   8264.52	Ar I
   8408.21	Ar I
   8424.65	Ar I
   8521.44	Ar I
   8667.94	Ar I
   9122.97	Ar I
   9224.50	Ar I
   9354.22	Ar I
   9657.78	Ar I
   9784.50	Ar I
  10830.17	He I                                                        
