wavelength calibrated_flux flux_var
3600.737920473317 nan nan
3602.7895107883323 4.907002665689299e-17 2.2799606990822276e-34
3604.841101103348 3.33584416383209e-17 9.681434812828476e-35
3606.892691418364 3.887411969038492e-17 3.3170682549042075e-35
3608.9442817333793 4.428663050232435e-17 4.088633357524009e-35
3610.995872048395 3.2714602904046596e-17 3.434471601384088e-35
3613.047462363411 3.9125957062354596e-17 4.306670530541853e-35
3615.0990526784262 3.8951005232783375e-17 4.148480276841586e-35
3617.150642993442 4.113447217561834e-17 4.4144748452298816e-35
3619.202233308458 4.382938595075151e-17 4.726460381226078e-35
3621.2538236234736 3.4296077874870457e-17 3.9663308842547843e-35
3623.305413938489 3.518947612863257e-17 3.888225986467471e-35
3625.357004253505 3.137039582749493e-17 3.282735567538487e-35
3627.4085945685206 3.962088209142219e-17 4.0067236836795776e-35
3629.460184883536 3.849050125739816e-17 3.587808738875264e-35
3631.5117751985517 3.445705482221217e-17 3.5366143207050556e-35
3633.5633655135675 3.42632151418265e-17 3.6172744098594965e-35
3635.614955828583 3.03628626337997e-17 3.2499152547657076e-35
3637.6665461435987 3.8440051214150246e-17 3.6580948628336887e-35
3639.7181364586145 3.572110165775591e-17 3.353198771937706e-35
3641.76972677363 3.3636820086505133e-17 3.0116799798206975e-35
3643.8213170886456 2.608173417237228e-17 2.7576566845240374e-35
3645.8729074036614 2.7316909096655038e-17 2.620632920245694e-35
3647.924497718677 3.115506698707472e-17 2.732872198735946e-35
3649.9760880336926 2.6847814788290928e-17 2.3263747474499002e-35
3652.0276783487084 2.5173397412994274e-17 2.1099471467892508e-35
3654.079268663724 2.3341497351129932e-17 2.0571981230973244e-35
3656.1308589787395 2.6713575728418023e-17 2.1738878121034064e-35
3658.1824492937553 3.1051407132071095e-17 2.2685299085236316e-35
3660.234039608771 2.5487580966195574e-17 2.2133098148052688e-35
3662.2856299237865 2.4119369425217348e-17 2.102644172310516e-35
3664.3372202388023 3.106630689035057e-17 2.436810738420005e-35
3666.388810553818 3.1689929096750477e-17 2.315805006536596e-35
3668.4404008688334 2.7441325954858142e-17 1.8637842364548253e-35
3670.491991183849 2.6244763903674056e-17 1.8652553978422904e-35
3672.543581498865 3.164593134774717e-17 2.1647280691282076e-35
3674.5951718138804 1.9528766923548617e-17 1.3569783630369565e-35
3676.646762128896 2.2469461151159808e-17 1.6446773451387923e-35
3678.698352443912 1.9672403559467035e-17 1.2901584783427056e-35
3680.7499427589273 2.411537542428384e-17 1.5584649265785656e-35
3682.801533073943 2.273695057262039e-17 1.431582461952425e-35
3684.853123388959 1.8415633816692078e-17 1.2750269334661407e-35
3686.9047137039743 2.175934371240655e-17 1.2602918436399764e-35
3688.95630401899 1.8628687955119903e-17 1.244678006822541e-35
3691.007894334006 1.6568149406765756e-17 1.158753384563021e-35
3693.0594846490217 2.0978645582125765e-17 1.249431141473918e-35
3695.111074964037 1.871853462882331e-17 1.2645019045651397e-35
3697.162665279053 1.7385559222972654e-17 1.2851982141809904e-35
3699.2142555940686 2.3051949802108125e-17 1.563338844774469e-35
3701.265845909084 2.298522954466148e-17 1.510943570497208e-35
3703.3174362240998 2.141986926438562e-17 1.546752012233869e-35
3705.3690265391156 1.7093711697523135e-17 1.2606663366373746e-35
3707.420616854131 1.523426296016051e-17 1.238186645640853e-35
3709.4722071691467 1.692949903843817e-17 1.0733404129064028e-35
