wavelength calibrated_flux flux_var
2750.849628406332 345658956347.2881 2.6998956418762562e+20
2754.1424425374935 154693013840.3517 5.014585188535991e+19
2757.435256668655 102839689589.97298 2.0941705592209727e+19
2760.728070799816 70022350385.94746 8.897046525443633e+18
2764.020884930978 39822062708.75802 2.861673518030869e+18
2767.313699062139 15882983972.621016 4.97196661621864e+17
2770.6065131933005 3074254238.1759367 2.046514164656271e+16
2773.899327324462 7241260516.698738 9.498554813804962e+16
2777.192141455623 2554527391.786532 1.2362375384960464e+16
2780.4849555867845 2718628378.113123 1.448081235175359e+16
2783.777769717946 5145638194.8226385 6.6579854399205256e+16
2787.0705838491076 25316824003.18027 1.6452572270353093e+18
2790.363397980269 -3870089276.5578613 3.9208511611572136e+16
2793.6562121114302 140026393.54240704 38078738994028.96
2796.9490262425916 97366113.23359042 17229204150050.355
2800.241840373753 36922653.069572985 2534017267306.3623
2803.534654504914 22973348.074681822 994522178404.9556
2806.8274686360755 14801181.830283428 410657000794.9357
2810.120282767237 8007111.829896066 118473265287.54454
2813.413096898398 2749168.957277519 14770117062.0319
2816.70591102956 3905662.0792783527 28192496127.00799
2819.9987251607213 1367444.6140842475 3496454691.5402617
2823.2915392918826 1248965.399194874 2886845426.4866157
2826.584353423044 303745.3507019935 183572544.3806548
2829.8771675542052 293397.6284721477 161276698.69047123
2833.1699816853666 145690.49871941988 46679708.75038364
2836.462795816528 75910.2202831316 11494325.141617967
2839.7556099476897 74412.17038551153 11340336.60320311
2843.048424078851 36676.27648980536 2629200.5746036777
2846.3412382100123 16016.611409421997 495889.4025214046
2849.6340523411736 20905.86877687584 808297.6506266047
2852.926866472335 8920.128242329387 156097.4086511141
2856.2196806034963 3374.635042333592 26522.073303804304
2859.5124947346576 2468.26905704582 12602.714275475239
2862.805308865819 1705.0531590093535 5991.408839146827
2866.0981229969802 1426.4900141734565 3828.0321088565915
2869.390937128142 598.8414069959722 698.1835722420636
2872.6837512593033 437.8394099542564 371.91704981301126
2875.9765653904647 178.47291611583637 78.69928110908106
2879.269379521626 108.33983033496412 27.36558134704149
2882.5621936527873 68.77895531886836 12.085008215434247
2885.8550077839486 66.81410928191006 9.741861663611125
2889.14782191511 47.34989931299256 4.6030889486650315
2892.4406360462717 17.866346051412474 0.8138614756191919
2895.733450177433 18.642077506492384 0.7238219461439868
2899.0262643085944 11.354942995596705 0.29238605156849645
2902.3190784397557 7.8851832568193725 0.12444020240595884
2905.611892570917 4.5658810960136265 0.044356340136756746
2908.9047067020783 3.785197142695881 0.029117325701253
2912.1975208332397 1.7845659936282159 0.007231797324231562
2915.490334964401 1.7501452928013432 0.006547211670237711
2918.7831490955623 1.4841959974263672 0.004333744248274328
2922.075963226724 0.6262042580862648 0.0008526845209044716
2925.3687773578854 0.5090582813883552 0.0005677166125332284
2928.6615914890467 0.3255908775899078 0.00022780772864193415
2931.954405620208 0.35837192876228263 0.0002612712901947833
2935.2472197513694 0.14469584723327472 4.899108104264714e-05
2938.5400338825307 0.15037230034719154 4.56913324860733e-05
2941.832848013692 0.07685627922056008 1.3750509731080567e-05
2945.125662144854 0.04703064432667391 5.056085889335572e-06
2948.418476276015 0.02534593618533039 1.6875632438468183e-06
2951.7112904071764 0.017491971497148637 8.315187632649253e-07
2955.0041045383377 0.015853836469675878 6.212852702618963e-07
2958.296918669499 0.006565894399401508 1.2957083110360805e-07
2961.5897328006604 0.009640860328326168 2.274982758964872e-07
2964.8825469318217 0.004476349511495963 5.0005095501326294e-08
2968.175361062983 0.00447438505227125 4.610846756452512e-08
2971.4681751941444 0.003295431160380045 2.491287778440686e-08
2974.760989325306 0.0017847955371453068 7.785815482859504e-09
2978.0538034564674 0.0012737765264138599 4.873284927268844e-09
2981.3466175876288 0.0006563226225958887 1.2820302573223412e-09
2984.63943171879 0.0003333450491538563 6.139916283949807e-10
2987.9322458499514 0.00046295496375851105 5.896046781898151e-10
2991.2250599811127 0.0002604140035626138 2.1433242217222848e-10
2994.517874112274 0.0002638618616026569 1.7930811334441905e-10
2997.810688243436 0.00019950514884337143 1.1482785914515641e-10
3001.103502374597 7.563046219882944e-05 2.0012080629965687e-11
3004.3963165057585 7.766701599547796e-05 1.822532561946437e-11
3007.68913063692 9.069214122404593e-05 2.175576780082881e-11
3010.981944768081 3.264555800301506e-05 3.7263370975308336e-12
3014.2747588992424 3.51301680659419e-05 3.454997552006529e-12
3017.5675730304038 2.83729273297115e-05 2.2285053305234815e-12
3020.860387161565 2.0487337657425158e-05 1.182142356302001e-12
3024.1532012927264 1.2059330198449659e-05 5.048137096405877e-13
3027.446015423888 9.880395229211782e-06 3.0632142551823276e-13
3030.7388295550495 7.578709779659324e-06 2.241347081542129e-13
3034.031643686211 5.672148359578447e-06 1.1288676445107656e-13
3037.324457817372 3.9267468276181695e-06 6.480753390918789e-14
3040.6172719485335 2.300646352972382e-06 1.8785593423624358e-14
3043.910086079695 3.5617559518960676e-06 3.7368595600222146e-14
3047.202900210856 2.047318307039654e-06 1.5597352193082382e-14
3050.495714342018 1.740380402392016e-06 9.291722415712127e-15
3053.788528473179 1.5951550394996485e-06 7.194756231951436e-15
3057.0813426043405 5.940997586131538e-07 1.5150147609024236e-15
3060.374156735502 5.624362064576276e-07 1.4134342014482666e-15
3063.666970866663 4.216950325036455e-07 6.112593966058642e-16
3066.9597849978245 4.673530893496495e-07 7.719842627291487e-16
3070.252599128986 3.6856120187474996e-07 3.86000686979808e-16
3073.545413260147 1.841004571743671e-07 1.5170477076082226e-16
