# Pixel Table for instrument ALFOSC, disperser: Grating #20
# order = 6
#
# Pixel    Wavelength [Å]
    84.07    5760.55
   390.02    6416.31
   511.63    6677.28
   601.46    6871.29
   644.88    6965.43
   691.83    7067.22
   786.40    7272.94
   837.39    7383.98
   952.37    7635.11
  1095.14    7948.18
  1238.77    8264.52
  1354.91    8521.44
  1420.91    8667.94
  1624.93    9122.97
  1670.25    9224.50
  1862.63    9657.79
  1918.57    9784.50
