# Pixel Table for instrument ALFOSC, disperser: Grating #19
# order = 6
#
# Pixel    Wavelength [Å]
   109.96    4472.73
   311.46    4714.46
   484.08    4923.30
   561.14    5017.07
   587.46    5049.15
  1237.46    5854.11
  1310.82    5946.48
  1378.25    6031.67
  1413.28    6076.02
  1430.48    6097.85
  1467.42    6144.76
  1483.56    6165.30
  1525.74    6219.00
  1564.35    6268.23
  1617.49    6336.18
  1655.40    6384.76
  1670.41    6404.02
  1751.49    6508.33
  1771.93    6534.69
  1823.06    6600.78
  1914.06    6718.90
  2076.46    6931.38
