# Pixel Table for instrument ALFOSC, disperser: Grating #19
# order = 3
#
# Pixel    Wavelength [Å]
   113.45    4481.81
   137.80    4510.73
   166.27    4545.05
   194.96    4579.35
   220.12    4609.57
   260.33    4657.90
   298.48    4703.99
   349.15    4764.86
   444.03    4879.86
   514.29    4965.08
   557.30    5017.16
   731.91    5231.16
   823.37    5343.58
  1019.70    5587.03
  1158.72    5760.55
  1493.02    6182.62
  1707.83    6457.28
  1877.93    6677.28
  1936.42    6752.83
