# Pixel Table for instrument ALFOSC, disperser: Grating #18
# order = 5
#
# Pixel    Wavelength [Å]
   351.44    3719.43
   445.37    3803.07
   722.10    4052.92
   967.01    4277.53
  1043.08    4348.06
  1254.18    4545.05
  1322.68    4609.57
  1486.54    4764.86
  1606.69    4879.86
  1695.39    4965.08
