# Pixel Table for instrument ALFOSC, disperser: Grating #18
# order = 3
#
# Pixel    Wavelength [Å]
   347.53    3719.43
   441.25    3803.07
   717.79    4052.92
   962.58    4277.53
  1038.62    4348.06
  1249.55    4545.05
  1318.02    4609.57
  1481.84    4764.86
  1601.92    4879.86
  1690.68    4965.08
